,0,1,2
858,16,6150,1305.0864
860,16,6160,2563.857
862,16,6195,2533.812
864,16,6225,2770.097
866,16,6226,3625.2295
868,16,6227,488.44012
870,16,6228,1645.252
872,16,6280,3084.7852
874,16,6281,1857.8608
876,16,6304,729.718
878,16,6309,1451.2266
880,16,6350,255.56912
882,17,102,1079.052
884,17,195,2090.1504
886,17,537,524.6387
888,17,761,127.986145
890,17,1551,108.62622
892,17,1584,849.9844
894,17,1785,431.3158
896,17,2003,131.88379
898,17,2267,750.8085
900,17,2327,119.41992
902,17,2362,369.67822
904,17,2374,654.5132
906,17,2904,24.286652
908,17,3535,11.076057
910,17,3797,17.011234
912,17,4855,19.860737
914,17,5781,805.0216
916,17,5812,1656.4756
918,17,5824,4089.0718
920,17,5827,2709.3684
922,17,5859,2963.0063
924,17,5864,1975.4117
926,17,5887,5537.0728
928,17,5896,2321.42
930,17,5928,2422.791
932,17,5939,5184.517
934,17,5949,837.22815
936,18,147,329.35626
938,18,450,1026.0466
940,18,476,1081.905
942,18,576,339.41846
944,18,1099,129.99579
946,18,1446,477.46222
948,18,1750,291.2588
950,18,2949,409.45837
952,18,3223,126.07471
954,18,3439,150.1698
956,18,3706,19.475464
958,18,3727,504.02368
960,18,3761,103.836426
962,18,4024,244.13232
964,18,4538,306.2437
966,18,6323,2313.4868
968,18,6329,1931.8823
970,18,6356,295.34338
972,18,6364,2083.8164
974,18,6365,1648.7512
976,18,6373,1123.9614
978,18,6405,1681.5225
980,18,6412,2273.3362
982,18,6418,3182.8691
984,18,6444,2263.9634
986,18,6468,1475.829
988,19,514,599.27734
990,19,831,2.3265738
992,19,847,281.10175
994,19,1150,1160.7329
996,19,1796,691.6061
998,19,1862,115.98279
1000,19,2004,262.92133
1002,19,2175,415.94287
1004,19,2701,9.845825
1006,19,2878,244.20331
1008,19,2968,57.942627
1010,19,3694,440.4845
1012,19,4690,344.27454
1014,19,4960,13.2715225
1016,19,4997,0.2740686
1018,19,6229,724.9043
1020,19,6235,2066.0378
1022,19,6247,762.90076
1024,19,6289,2135.142
1026,19,6292,4214.29
1028,19,6308,1933.9836
1030,19,6328,2884.425
1032,19,6369,2161.6536
1034,19,6376,1675.6196
1036,19,6397,1652.5247
